2026-05-14 20:21:30 | INFO     | === Pipeline started ===
2026-05-14 20:21:30 | INFO     | Fetching news from NewsData.io (attempt 1/3)
2026-05-14 20:21:33 | INFO     | Successfully fetched 10 articles
2026-05-14 20:21:33 | INFO     | [1/10] Summarizing: Jeep recalls more than 20,000 SUVs in Canada over potential rollaway and loss of...
2026-05-14 20:21:33 | INFO     | Sending article to Wormsoft AI (attempt 1/3): Jeep recalls more than 20,000 SUVs in Canada over potential ...
2026-05-14 20:21:54 | INFO     | Successfully summarized: Jeep recalls more than 20,000 SUVs in Canada over potential ...
2026-05-14 20:21:54 | INFO     | [2/10] Summarizing: Willamette Valley Vineyards Posts Results for Q1 2026...
2026-05-14 20:21:54 | INFO     | Sending article to Wormsoft AI (attempt 1/3): Willamette Valley Vineyards Posts Results for Q1 2026...
2026-05-14 20:21:58 | INFO     | Successfully summarized: Willamette Valley Vineyards Posts Results for Q1 2026...
2026-05-14 20:21:58 | INFO     | [3/10] Summarizing: Entrenador de Forever Young toma esta decisión sobre su futuro...
2026-05-14 20:21:58 | INFO     | Sending article to Wormsoft AI (attempt 1/3): Entrenador de Forever Young toma esta decisión sobre su fut...
2026-05-14 20:21:59 | INFO     | Successfully summarized: Entrenador de Forever Young toma esta decisión sobre su fut...
2026-05-14 20:21:59 | INFO     | [4/10] Summarizing: Harry's Nazi 'mistake' shame as he blasts 'lethal' antisemitism sweeping Britain...
2026-05-14 20:21:59 | INFO     | Sending article to Wormsoft AI (attempt 1/3): Harry's Nazi 'mistake' shame as he blasts 'lethal' antisemit...
2026-05-14 20:22:04 | INFO     | Successfully summarized: Harry's Nazi 'mistake' shame as he blasts 'lethal' antisemit...
2026-05-14 20:22:04 | INFO     | [5/10] Summarizing: Dominasi Inter Milan: Chivu Sukses Kawinkan Scudetto dan Coppa Italia Ke-10...
2026-05-14 20:22:04 | INFO     | Sending article to Wormsoft AI (attempt 1/3): Dominasi Inter Milan: Chivu Sukses Kawinkan Scudetto dan Cop...
2026-05-14 20:22:05 | INFO     | Successfully summarized: Dominasi Inter Milan: Chivu Sukses Kawinkan Scudetto dan Cop...
2026-05-14 20:22:05 | INFO     | [6/10] Summarizing: Así lo ha celebrado la afición taronja...
2026-05-14 20:22:05 | INFO     | Sending article to Wormsoft AI (attempt 1/3): Así lo ha celebrado la afición taronja...
2026-05-14 20:22:06 | INFO     | Successfully summarized: Así lo ha celebrado la afición taronja...
2026-05-14 20:22:06 | INFO     | [7/10] Summarizing: Jeep recalls more than 20,000 SUVs in Canada over potential rollaway and loss of...
2026-05-14 20:22:06 | INFO     | Sending article to Wormsoft AI (attempt 1/3): Jeep recalls more than 20,000 SUVs in Canada over potential ...
2026-05-14 20:22:10 | INFO     | Successfully summarized: Jeep recalls more than 20,000 SUVs in Canada over potential ...
2026-05-14 20:22:10 | INFO     | [8/10] Summarizing: 籃籃爆把胡瓜當工具人 李多慧挺:工作她沒遲到...
2026-05-14 20:22:10 | INFO     | Sending article to Wormsoft AI (attempt 1/3): 籃籃爆把胡瓜當工具人 李多慧挺:工作她沒遲到...
2026-05-14 20:22:26 | INFO     | Successfully summarized: 籃籃爆把胡瓜當工具人 李多慧挺:工作她沒遲到...
2026-05-14 20:22:26 | INFO     | [9/10] Summarizing: "مالية وقانونية أمانة العاصمة" تستعرض إنجازاتها وتؤكد تعزيز الرقابة والشراكة ...
2026-05-14 20:22:26 | INFO     | Sending article to Wormsoft AI (attempt 1/3): "مالية وقانونية أمانة العاصمة" تستعرض إنجازاتها وتؤكد تعز...
2026-05-14 20:22:31 | INFO     | Successfully summarized: "مالية وقانونية أمانة العاصمة" تستعرض إنجازاتها وتؤكد تعز...
2026-05-14 20:22:31 | INFO     | [10/10] Summarizing: Willamette Valley Vineyards Posts Results for Q1 2026...
2026-05-14 20:22:31 | INFO     | Sending article to Wormsoft AI (attempt 1/3): Willamette Valley Vineyards Posts Results for Q1 2026...
2026-05-14 20:22:34 | INFO     | Successfully summarized: Willamette Valley Vineyards Posts Results for Q1 2026...
2026-05-14 20:22:34 | INFO     | Saved 10 of 10 summaries to output\news_summary_20260514_102234.json
2026-05-14 20:22:34 | INFO     | === Pipeline finished ===
